date,1. open,2. high,3. low,4. close,5. volume,date_time
2023-10-27 10:15:00,121.56,122.12,121.11,121.13,2107993.0,2023-10-27 10:15:00
2023-10-27 10:00:00,121.14,121.87,120.78,121.57,2697128.0,2023-10-27 10:00:00
2023-10-27 09:45:00,121.19,121.4,120.206,121.15,4159516.0,2023-10-27 09:45:00
2023-10-27 09:30:00,122.88,123.31,120.63,121.13,4606183.0,2023-10-27 09:30:00
2023-10-27 09:15:00,122.79,122.98,122.61,122.88,49530.0,2023-10-27 09:15:00
2023-10-27 09:00:00,122.96,124.025,121.67,122.79,22434.0,2023-10-27 09:00:00
2023-10-27 08:45:00,122.81,123.18,122.77,122.97,32924.0,2023-10-27 08:45:00
2023-10-27 08:30:00,122.95,123.0,122.63,122.7,30160.0,2023-10-27 08:30:00
2023-10-27 08:15:00,122.83,123.0,122.785,123.0,11011.0,2023-10-27 08:15:00
2023-10-27 08:00:00,122.95,123.89,122.28,122.84,50297.0,2023-10-27 08:00:00
2023-10-27 07:45:00,122.63,122.89,122.62,122.7,7529.0,2023-10-27 07:45:00
2023-10-27 07:30:00,122.57,122.68,122.52,122.62,6524.0,2023-10-27 07:30:00
2023-10-27 07:15:00,122.7,122.71,122.53,122.59,8789.0,2023-10-27 07:15:00
2023-10-27 07:00:00,122.93,123.07,122.68,122.68,13899.0,2023-10-27 07:00:00
2023-10-27 06:45:00,123.03,123.17,122.85,122.93,5607.0,2023-10-27 06:45:00
2023-10-27 06:30:00,123.06,123.12,122.97,123.03,6644.0,2023-10-27 06:30:00
2023-10-27 06:15:00,123.11,123.11,123.02,123.07,3171.0,2023-10-27 06:15:00
2023-10-27 06:00:00,123.1,123.15,123.06,123.1,1411.0,2023-10-27 06:00:00
2023-10-27 05:45:00,123.06,123.13,122.97,123.1,1629.0,2023-10-27 05:45:00
2023-10-27 05:30:00,122.95,123.04,122.86,123.0,4060.0,2023-10-27 05:30:00
2023-10-27 05:15:00,123.05,123.18,122.89,122.98,2502.0,2023-10-27 05:15:00
2023-10-27 05:00:00,123.19,123.2,123.0,123.0,3217.0,2023-10-27 05:00:00
2023-10-27 04:45:00,123.22,123.23,123.16,123.2,4375.0,2023-10-27 04:45:00
2023-10-27 04:30:00,123.12,123.28,123.12,123.22,3299.0,2023-10-27 04:30:00
2023-10-27 04:15:00,122.94,123.12,122.92,123.05,4659.0,2023-10-27 04:15:00
2023-10-27 04:00:00,123.11,123.75,122.8,122.89,10620.0,2023-10-27 04:00:00
2023-10-26 19:45:00,123.15,123.34,123.06,123.18,18042.0,2023-10-26 19:45:00
2023-10-26 19:30:00,123.11,123.32,123.03,123.1,8563.0,2023-10-26 19:30:00
2023-10-26 19:15:00,123.36,123.37,123.08,123.11,9723.0,2023-10-26 19:15:00
2023-10-26 19:00:00,123.11,123.37,123.0,123.33,23067.0,2023-10-26 19:00:00
2023-10-26 18:45:00,123.1,123.17,123.02,123.15,13378.0,2023-10-26 18:45:00
2023-10-26 18:30:00,122.75,123.17,122.74,123.1,18958.0,2023-10-26 18:30:00
2023-10-26 18:15:00,122.28,122.89,122.24,122.8,31572.0,2023-10-26 18:15:00
2023-10-26 18:00:00,122.0,122.35,121.9,122.28,9878.0,2023-10-26 18:00:00
2023-10-26 17:45:00,121.79,122.23,121.51,122.0,38440.0,2023-10-26 17:45:00
2023-10-26 17:30:00,121.5,121.95,121.37,121.84,27043.0,2023-10-26 17:30:00
2023-10-26 17:15:00,121.54,122.28,113.192,121.5,1044557.0,2023-10-26 17:15:00
2023-10-26 17:00:00,121.512,122.28,121.43,121.58,30825.0,2023-10-26 17:00:00
2023-10-26 16:45:00,121.89,122.28,121.43,121.51,98354.0,2023-10-26 16:45:00
2023-10-26 16:30:00,122.3,122.39,121.75,121.89,47224.0,2023-10-26 16:30:00
2023-10-26 16:15:00,122.28,126.12,122.16,122.28,61891.0,2023-10-26 16:15:00
2023-10-26 16:00:00,122.25,122.38,121.86,122.24,8091414.0,2023-10-26 16:00:00
2023-10-26 15:45:00,122.14,122.6,122.025,122.26,4404533.0,2023-10-26 15:45:00
2023-10-26 15:30:00,122.79,122.85,122.14,122.14,1723850.0,2023-10-26 15:30:00
2023-10-26 15:15:00,122.76,122.89,122.59,122.79,1243038.0,2023-10-26 15:15:00
2023-10-26 15:00:00,122.98,123.32,122.76,122.77,1088342.0,2023-10-26 15:00:00
2023-10-26 14:45:00,122.83,123.11,122.81,122.98,1052095.0,2023-10-26 14:45:00
2023-10-26 14:30:00,123.075,123.342,122.76,122.83,1311918.0,2023-10-26 14:30:00
2023-10-26 14:15:00,122.613,123.08,122.475,123.07,1008049.0,2023-10-26 14:15:00
2023-10-26 14:00:00,122.42,122.88,122.24,122.612,1211383.0,2023-10-26 14:00:00
2023-10-26 13:45:00,122.125,122.59,122.125,122.42,889087.0,2023-10-26 13:45:00
2023-10-26 13:30:00,121.69,122.15,121.51,122.115,980287.0,2023-10-26 13:30:00
2023-10-26 13:15:00,122.0,122.14,121.6,121.7,1240819.0,2023-10-26 13:15:00
2023-10-26 13:00:00,121.795,122.22,121.66,122.0,1177793.0,2023-10-26 13:00:00
